id_page,title,date,link,first_p
137,"Thực phẩm Hữu Nghị (HNF) muốn phát hành 10 triệu cổ phần, tiền thu về phần lớn để trả nợ vay",2020-02-21T00:44:58,/thuc-pham-huu-nghi-hnf-muon-phat-hanh-10-trieu-co-phan-tien-thu-ve-phan-lon-de-tra-no-vay-2020021922035061.chn,"Tháng 8/2019, DNA Holding nâng tỷ lệ sở hữu tại Thực phẩm Hữu Nghị (HNF) từ 40,7% lên 54,2%, chính thức trở thành công ty mẹ với 10,2 triệu cổ phiếu."
137,Vinalines sẽ thoái vốn 13 đơn vị thành viên trong năm 2020,2020-02-20T18:35:16,/vinalines-se-thoai-von-13-don-vi-thanh-vien-trong-nam-2020-20200220142256047.chn,"Số lượng doanh nghiệp của Vinalines giảm từ 73 doanh nghiệp xuống còn 35 doanh nghiệp ở thời điểm hiện tại, bao gồm cả Công ty cổ phần Cảng Quy Nhơn mới được Vinalines tiếp nhận..."
137,Công ty quảng cáo Clever Group (ADG) đã phát hành riêng lẻ 888.000 cổ phiếu cho Yello Digital,2020-02-20T18:34:13,/cong-ty-quang-cao-clever-group-adg-da-phat-hanh-rieng-le-888000-co-phieu-cho-yello-digital-20200220164456969.chn,"Cổ phiếu của Clever Group đã tăng 72% sau 2 tháng chào sàn, lên 94.500 đồng/cp."
138,"Đã lên sàn, Hanel vẫn phải nhận án phạt chậm đăng ký giao dịch chứng khoán",2020-02-20T18:33:07,/da-len-san-hanel-van-phai-nhan-an-phat-cham-dang-ky-giao-dich-chung-khoan-20200219181357985.chn,Cổ phiếu HNE của Hanel đã tăng gần 25% sau 5 phiên đầu tiên giao dịch trên Upcom.
138,"VinHomes tập trung bán buôn, xây dựng mô hình bán hàng trực tuyến",2020-02-20T16:52:00,/vinhomes-tiep-tuc-tap-trung-ban-buon-dat-ke-hoach-lai-28000-ty-dong-trong-nam-2020-20200220165101719.chn,"VinHomes đang xây dựng đội ngũ bán hàng nội bộ với 600 – 1.000 nhân viên để thay thế doanh số đại lý, đồng thời duy trì liên lạc với hàng chục nghìn chuyên gia tư vấn bán hàng bên..."
138,"Vinamilk dồn dập báo tin vui: Sau thông tin được cấp phép xuất khẩu sữa sang Trung Quốc, ký hợp đồng xuất khẩu 20 triệu USD ở Dubai",2020-02-20T16:01:00,/vinamilk-don-dap-bao-tin-vui-sau-thong-tin-duoc-cap-phep-xuat-khau-sua-sang-trung-quoc-ky-hop-dong-xuat-khau-20-trieu-usd-o-dubai-20200220155945891.chn,"Vinamilk cho biết, hoạt động xuất khẩu của công ty đang tiến triển rất khả quan. Tại hội chợ đang diễn ra ở Dubai, Vinamilk đã chốt ký hợp đồng xuất khẩu sữa trị giá 20 triệu USD."
138,"Thị trường hồi phục, khối ngoại tiếp tục bán ròng hơn 350 tỷ đồng trong phiên 20/2",2020-02-20T15:17:25,/thi-truong-hoi-phuc-khoi-ngoai-tiep-tuc-ban-rong-hon-350-ty-dong-trong-phien-20-2-20200220151550407.chn,"Giao dịch khối ngoại là điểm trừ khi họ tiếp tục bán ròng khá mạnh với giá trị 357 tỷ đồng. Lực bán của khối ngoại tập trung vào nhiều cổ phiếu Bluechips như CTG (99,3 tỷ đồng),..."
138,"Chứng khoán bất ngờ tăng rực rỡ phiên chiều, VIC tăng một mạch gần 5%",2020-02-20T15:02:00,/don-tin-tat-ca-16-nguoi-nhiem-covid-19-o-viet-nam-da-khoi-benh-thi-truong-chung-khoan-tang-ruc-ro-20200220093830532.chn,Thanh khoản sàn HoSE đạt 3.300 tỷ đồng phiên hôm nay.
138,"IDJ tăng gấp đôi từ đầu năm, Chủ tịch công ty đăng ký bán hết cổ phiếu",2020-02-20T14:30:06,/idj-tang-gap-doi-tu-dau-nam-chu-tich-cong-ty-dang-ky-ban-het-co-phieu-20200220142832672.chn,"Thời gian gần đây, IDJ là một trong những cổ phiếu bứt phá mạnh nhất trên TTCK Việt Nam. Tính tới hết phiên giao dịch 19/2, thị giá IDJ đạt 13.800 đồng/cp, gấp đôi thời điểm đầu..."
138,Cổ phiếu VIC hoán đổi SDI được giao dịch từ 24/2,2020-02-20T14:25:13,/co-phieu-vic-hoan-doi-sdi-duoc-giao-dich-tu-24-2-20200220142339344.chn,"Cổ phiếu VIC chốt phiên 19/2 tại mức giá 105.000 đồng/cp, giảm từ vùng giá 115.000 đồng/cp trong một tuần qua. Tổng số lượng chứng khoán VIC sau thay đổi niêm yết đạt hơn 3,38 tỷ..."
138,Vụ nhận uỷ thác đầu tư phái sinh thua lỗ 53 tỷ: Luật sư cho rằng chỉ công ty quản lý quỹ do UBCKNN cấp phép mới được thực hiện,2020-02-20T14:16:02,/vu-nhan-uy-thac-dau-tu-phai-sinh-thua-lo-53-ty-luat-su-cho-rang-chi-cong-ty-quan-ly-quy-do-ubcknn-cap-phep-moi-duoc-thuc-hien-20200219165504673.chn,"Theo quan điểm Luật sư, cần xác định chỉ có công ty quản lý quỹ do UBCKNN cấp phép và quản lý mới được thực hiện nghiệp vụ uỷ thác đầu tư. Do đó, việc ông Nam nhận uỷ thác để đầu..."
138,Có thêm nhiều doanh nghiệp và cá nhân vừa bị UBCKNN phạt,2020-02-20T13:50:30,/co-them-nhieu-doanh-nghiep-va-ca-nhan-vua-bi-ubcknn-phat-20200220085838016.chn,Trong đó nặng nhất là Hanel bị phạt 300 triệu đồng.
138,"Sau Vinaconex, đến lượt Tổng Công ty Sông Đà đưa cổ phần Vinaconex Power ra bán đấu giá",2020-02-20T11:52:32,/sau-vinaconex-den-luot-tong-cong-ty-song-da-dua-co-phan-vinaconex-power-ra-ban-dau-gia-2020022009424075.chn,Giá khởi điểm gần 45.000 đồng/cổ phần.
138,"BVSC: “2020 là năm đầy thử thách cho Sabeco, doanh thu nhiều khả năng sẽ sụt giảm”",2020-02-20T10:35:00,/bvsc-2020-la-nam-day-thu-thach-cho-sabeco-doanh-thu-nhieu-kha-nang-se-sut-giam-20200220103329125.chn,"BVSC đưa ra nhiều kịch bản cho KQKD năm 2020 nhưng thiên về khả năng doanh thu sẽ giảm. Ở kịch bản cơ bản, BVSC dự báo doanh thu thuần đạt 35.287 tỷ đồng (-6,9% yoy) và lợi nhuận..."
138,Masan Consumer hoàn tất mua 52% Bột giặt Net với mức định giá 46 triệu USD,2020-02-20T10:23:34,/masan-consumer-hoan-tat-thau-tom-bot-giat-net-voi-muc-dinh-gia-46-trieu-usd-20200220093006454.chn,"Trong thương vụ mới này, ưu tiên hàng đầu là tích hợp NET với hệ thống phân phối của Masan gồm 300.000 điểm bán lẻ truyền thống và nền tảng thương mại hiện đại gồm 3.000 siêu thị..."
139,"Vilico lên kế hoạch lãi 2020 giảm 10% xuống còn 160 tỷ đồng, thay đổi hàng loạt nhân sự chủ chốt nhiệm kỳ mới",2020-02-20T09:05:21,/vilico-len-ke-hoach-lai-2020-giam-10-xuong-con-160-ty-dong-thay-doi-hang-loat-nhan-su-chu-chot-nhiem-ky-moi-20200219145500376.chn,"Chiếc ghế nóng Chủ tịch Vilico đã được giao lại cho bà Mai Kiều Liên, người đang đảm nhận vị trí Thành viên HĐQT kiêm Tổng Giám đốc của Vinamilk đồng thời là Chủ tịch HĐQT của..."
139,Dược phẩm Imexpharm (IMP) đặt mục tiêu lãi trước thuế 2020 tăng 28% lên 260 tỷ đồng,2020-02-20T09:00:00,/duoc-pham-imexpharm-imp-uoc-lai-truoc-thue-260-ty-dong-nam-2019-20200219174851188.chn,Dược phẩm Imexpharm cũng thông qua hướng xử lý khoản nợ khó đòi hơn 23 triệu đồng do Hội đồng xóa nợ khó đòi đề xuất.
139,Lịch sự kiện và tin vắn chứng khoán ngày 20/02,2020-02-20T08:58:00,/lich-su-kien-va-tin-van-chung-khoan-ngay-20-02-20200220081715797.chn,Tổng hợp toàn bộ tin vắn nổi bật liên quan đến doanh nghiệp niêm yết trên hai sàn chứng khoán.
139,"TNA, HDC, TTB, TCO, TIG, DZM: Thông tin giao dịch lượng lớn cổ phiếu",2020-02-20T08:56:44,/tna-hdc-ttb-tco-tig-dzm-thong-tin-giao-dich-luong-lon-co-phieu-20200220081138672.chn,Thông tin giao dịch lượng lớn cổ phiếu trên HNX/HSX.
139,FE Credit chuyển đổi sang hình thức công ty cổ phần,2020-02-19T23:04:00,/fe-credit-chuyen-doi-sang-cong-ty-co-phan-20200219230241172.chn,NHNN vừa có văn bản chấp thuận chuyển đổi hình thức pháp lý của FE Credit từ công ty trách nhiệm hữu hạn một thành viên thành công ty cổ phần.
139,DIC Corp (DIG) lên kế hoạch mua 15 triệu cổ phiếu quỹ,2020-02-19T16:11:00,/dic-corp-dig-len-ke-hoach-mua-15-trieu-co-phieu-quy-20200219161001626.chn,"Trong cơ cấu cổ đông DIC Corp hiện có sự hiện diện của một số tổ chức như nhóm quỹ Dragon Capital (nắm xấp xỉ 23%), Chứng khoán Bản Việt (8,9%)…"
139,Phiên 19/2: Khối ngoại tiếp tục bán ròng 220 tỷ đồng trên toàn thị trường,2020-02-19T15:23:00,/phien-19-2-khoi-ngoai-tiep-tuc-ban-rong-220-ty-dong-tren-toan-thi-truong-2020021915214172.chn,"Giao dịch khối ngoại diễn ra không thực sự tích cực khi họ bán ròng trên cả 3 sàn với tổng giá trị 220 tỷ đồng. Lực bán diễn ra tại hàng loạt cổ phiếu Bluechips như NLG (26,4 tỷ..."
139,"Vĩnh Hoàn (VHC): Trung Quốc chiếm 15% tổng xuất khẩu, sẽ tăng cường đơn hàng EU để bù đắp tác động của virus Covid-19",2020-02-19T13:45:00,/vinh-hoan-vhc-trung-quoc-chiem-15-tong-xuat-khau-se-tang-cuong-don-hang-eu-de-bu-dap-tac-dong-cua-virus-covid-19-20200218180516173.chn,"Là một doanh nghiệp cá tra lớn tại Việt Nam với tổng kim ngạch sang Trung Quốc khá lớn, năm 2019 chiếm khoảng 15% giá trị, Vĩnh Hoàn (VHC) cho biết lợi nhuận kế hoạch mới..."
139,"VN-Index gặp khó trước ngưỡng 930 điểm, dòng tiền đổ mạnh vào nhóm Khu công nghiệp, Viettel",2020-02-19T11:41:00,/vic-hoi-phuc-sau-3-phien-giam-sau-vn-index-lay-lai-moc-930-diem-20200219100638064.chn,"Các cổ phiếu Viettel như CTR, VGI, VTK, VTP hay Khu công nghiệp KBC, ITA, SZL, SZC, NTC, TIP, D2D, PHR, GVR, VRG…đều tăng mạnh, thậm chí nhiều mã tăng trần."
139,Thuỷ sản Nam Việt (ANV): Dịch nCoV cũng là cơ hội để giảm phụ thuộc Trung Quốc dù tìm kiếm khách hàng mới không dễ dàng,2020-02-19T09:41:01,/thuy-san-nam-viet-anv-dich-ncov-cung-la-co-hoi-de-giam-phu-thuoc-trung-quoc-du-tim-kiem-khach-hang-moi-khong-de-dang-2020021819202022.chn,"Ở khía cạnh khác của ảnh hưởng dịch nCoV giai đoạn này, việc tạm dừng các đơn hàng sang Trung Quốc cũng có thể xem là một bước khởi sắc với các thị trường còn lại. Theo ông Thiên,..."
139,"Phát lộ thêm ""Phái sinh hội 2"" chuyên đánh Forex & CFD của ông Phan Hoàng Nam, lãi mục tiêu thậm chí lên đến 10%/tháng",2020-02-19T09:25:36,/phat-lo-them-phai-sinh-hoi-2-chuyen-danh-forex-cfd-cua-ong-phan-hoang-nam-lai-muc-tieu-tham-chi-len-den-10-thang-20200218204020001.chn,"Theo thông tin từ group chat giữa ông Phan Hoàng Nam và nhóm nhà đầu tư, ""Phái sinh hội 2"" được giới thiệu là ""chén cơm thứ 2"" của ""Phái sinh hội"", trong đó ông Nam khẳng định phụ..."
139,Chứng khoán Bản Việt (VCSC) phát hành chứng quyền cho 2 mã FPT và VPB,2020-02-19T09:22:00,/chung-khoan-ban-viet-vcsc-sap-phat-hanh-chung-quyen-cho-2-ma-fpt-va-vpb-20200218160110032.chn,"Đây là đợt phát hành chứng quyền thứ 2 của Chứng khoán Bản Việt (VCSC), tập trung vào nhóm cổ phiếu ngân hàng, công nghệ, bán lẻ, vì đây là nhóm ngành duy trì tốc độ tăng trưởng..."
140,Doanh nghiệp cảng biển đồng loạt lãi vượt kế hoạch 2019,2020-02-19T09:21:00,/doanh-nghiep-cang-bien-dong-loat-lai-vuot-ke-hoach-2019-20200218161457032.chn,Mặc dù báo lãi vượt kế hoạch nhưng không ít doanh nghiệp cảng biển có mức lợi nhuận sụt giảm so với 2018.
140,Lịch chốt quyền nhận cổ tức bằng tiền của 10 doanh nghiệp,2020-02-19T09:09:59,/lich-chot-quyen-nhan-co-tuc-bang-tien-cua-10-doanh-nghiep-20200218163835673.chn,"PJC, LHC, TLG, LBM, ADC, NTH, TDB, TPS, TV4, CPW vừa công bố lịch chốt quyền nhận cổ tức bằng tiền."
140,"VCP, NVB, IDJ, L35: Thông tin giao dịch lượng lớn cổ phiếu",2020-02-19T09:02:13,/vcp-nvb-idj-l35-thong-tin-giao-dich-luong-lon-co-phieu-20200218175957439.chn,Thông tin giao dịch lượng lớn cổ phiếu trên HNX/HSX.
140,Lịch sự kiện và tin vắn chứng khoán ngày 19/02,2020-02-19T08:59:58,/lich-su-kien-va-tin-van-chung-khoan-ngay-19-02-20200219081524782.chn,Tổng hợp toàn bộ tin vắn nổi bật liên quan đến doanh nghiệp niêm yết trên hai sàn chứng khoán.
140,Cổ phiếu “họ Viettel” ngược dòng thị trường bứt phá mạnh trong những tháng đầu năm,2020-02-19T06:35:00,/co-phieu-ho-viettel-nguoc-dong-thi-truong-but-pha-manh-trong-nhung-thang-dau-nam-20200218203547704.chn,"Với tiềm năng tăng trưởng dài hạn trong “kỷ nguyên 4.0”, các cổ phiếu Viettel trên sàn chứng khoán như VGI, VTP, CTR đang thu hút sự quan tâm lớn của giới đầu tư."
140,Pinaco (PAC) ước lãi trước thuế 2020 giảm 8% xuống 205 tỷ đồng,2020-02-19T00:23:51,/pinaco-pac-uoc-lai-truoc-thue-2020-giam-8-xuong-205-ty-dong-20200218175653657.chn,Cổ phiếu PAC của Pinaco đã giảm 8% kể từ đầu năm 2020 đến nay.
140,Vinaconex đăng ký bán toàn bộ 16 triệu cổ phiếu Vinaconex Power (VCP),2020-02-19T00:22:00,/vinaconex-dang-ky-ban-toan-bo-16-trieu-co-phieu-vinaconex-power-vcp-20200218161006454.chn,Vinaconex Power vừa trình Đại hội cổ đông thông qua việc chuyển sàn sang niêm yết trên HoSE hoặc HNX.
140,Cổ phiếu mía đường tăng hơn 30% trong 1 tuần,2020-02-18T18:26:36,/co-phieu-mia-duong-tang-hon-30-trong-1-tuan-20200218161246673.chn,"Chỉ trong vòng 1 tuần, nhiều cổ phiếu mía đường tăng trên 30%. Kết quả kinh doanh của các doanh nghiệp mía đường trong quý IV khởi sắc hơn nhiều so với cùng kỳ. Ngành mía đường..."
140,"Đi tìm ý tưởng đầu tư giai đoạn Corona: Đừng quên những doanh nghiệp EPS cao rất giỏi ""bắt tiền đẻ ra tiền""",2020-02-18T16:04:52,/di-tim-y-tuong-dau-tu-giai-doan-corona-dung-quen-nhung-doanh-nghiep-eps-cao-rat-gioi-bat-tien-de-ra-tien-20200217081946376.chn,"Trong bối cảnh thị trường chứng khoán có nhiều biến động do ảnh hưởng của Covid19, nhà đầu tư cần có thêm cách nhìn để có nhiều lựa chọn đầu tư mới."
140,Chứng khoán SSI triển khai phương án phát hành gần 83 triệu cổ phiếu trả cổ tức,2020-02-18T15:16:37,/chung-khoan-ssi-trien-khai-phuong-an-phat-hanh-gan-83-trieu-co-phieu-tra-co-tuc-2020021815143136.chn,Dự kiến sau phát hành Chứng khoán SSI sẽ tăng vốn điều lệ lên gần 6.030 tỷ đồng.
140,"Sau khi gây thiệt hại 53 tỷ đồng cho NĐT, tác giả cuốn “Cỗ máy in tiền” phủ nhận: Hoàn toàn tự nguyện, không ép buộc, không hợp đồng cam kết",2020-02-18T15:15:34,/sau-khi-gay-thiet-hai-53-ty-dong-cho-ndt-tac-gia-cuon-co-may-in-tien-phu-nhan-hoan-toan-tu-nguyen-khong-ep-buoc-khong-hop-dong-cam-ket-20200218150237814.chn,"Ông Phan Hoàng Nam (sinh năm 1981), đồng tác giả cuốn ‘Cỗ máy in tiền"", Giám đốc Công ty TNHH Nobel Global mới đây đã bị nhóm 51 nhà đầu tư gửi đơn tố cáo sau khi gây thiệt hại..."
140,"Khối ngoại đẩy mạnh bán ròng hơn 300 tỷ, VN-Index mất mốc 930 điểm trong phiên 18/2",2020-02-18T15:13:15,/khoi-ngoai-day-manh-ban-rong-hon-300-ty-vn-index-mat-moc-930-diem-trong-phien-18-2-20200218151210595.chn,Giao dịch khối ngoại diễn ra không mấy tích cực khi họ bán ròng trên cả 3 sàn với tổng giá trị 309 tỷ đồng và đây cũng là phiên bán ròng thứ 6 liên tiếp. Lực bán của khối ngoại...
141,"SAB mất 8.000 đồng/cổ phiếu, VnIndex giảm hơn 6 điểm",2020-02-18T14:13:00,/sab-vic-giam-sau-co-phieu-khu-cong-nghiep-tang-gia-khong-du-suc-tru-vnindex-20200218095657985.chn,CTD là một điểm sáng đáng chú ý hôm nay. Sau khi mất hơn nửa giá trong vòng hơn 1 năm trở lại đây thì tháng 2/2020 lại là tháng rực rỡ của CTD.
141,"Con trai Chủ tịch ngân hàng NCB đăng ký mua 8,2 triệu cổ phiếu",2020-02-18T13:43:12,/con-trai-chu-tich-ngan-hang-ncb-dang-ky-mua-82-trieu-co-phieu-2020021812033647.chn,Trước đó tháng 9/2019 con trai Chủ tịch NCB cũng vừa mua hơn 1 triệu cổ phiếu NVB.
141,PHS dự báo lợi nhuận PNJ tăng mạnh trong năm 2020 nhờ chiến lược đa dạng hóa sản phẩm và ERP đi vào ổn định,2020-02-18T11:30:09,/phs-du-bao-loi-nhuan-pnj-tang-manh-trong-nam-2020-nho-chien-luoc-da-dang-hoa-san-pham-va-erp-di-vao-on-dinh-20200218112906876.chn,"Phú Hưng ước tính doanh thu thuần của PNJ năm 2020 đạt 19.550 tỷ đồng với mức tăng trưởng 15% so với cùng kỳ, thấp hơn mức tăng trưởng 17% trong năm 2019 do ảnh hưởng của virus..."
141,Mirae Asset chuẩn bị phát hành 500 tỷ đồng trái phiếu trong tháng 2,2020-02-18T10:21:47,/mirae-asset-chuan-bi-phat-hanh-500-ty-dong-trai-phieu-trong-thang-2-2020021810204547.chn,"Mirae Asset sẽ phát hành 500 trái phiếu không chuyển đổi, không có bảo đảm, tổng giá trị 500 tỷ đồng với lãi suất danh nghĩa dự kiến 8%/năm nhằm bổ sung nguồn vốn phát triển kinh..."
141,"Cùng là ""ông lớn"" môi giới bất động sản trên thị trường, nhưng doanh thu CenLand ngày càng bị Đất Xanh bỏ xa",2020-02-18T09:49:00,/cung-la-ong-lon-moi-gioi-bat-dong-san-tren-thi-truong-nhung-doanh-thu-cenland-ngay-cang-bi-dat-xanh-bo-xa-20200217183602892.chn,"3 năm gần đây, khoảng cách doanh thu môi giới bất động sản giữa Đất Xanh và CenLand ngày càng bị nới rộng, từ 500 tỷ đồng năm 2017, tăng lên 1.200 tỷ đồng năm 2018 và lên 1.500 tỷ..."
141,"Petrosetco (PSD) bị truy thu và phạt hơn 1,7 tỷ đồng tiền thuế",2020-02-18T09:47:23,/petrosetco-psd-bi-truy-thu-va-phat-hon-17-ty-dong-tien-thue-20200217160731001.chn,"Trong đó Petrosetco bị truy thu thuế GTGT, TNDN và truy hoàn thuế GTGT hơn 1 tỷ đồng."
141,"May Sông Hồng (MSH): Quý 1/2020 chưa bị ảnh hưởng bởi dịch virus Covid-19, sang quý 2 đối mặt nguy cơ hụt hàng, thậm chí có thể thay đổi kế hoạch cả năm",2020-02-18T09:45:58,/may-song-hong-msh-quy-1-2020-chua-bi-anh-huong-boi-dich-virus-covid-19-sang-quy-2-doi-mat-nguy-co-hut-hang-tham-chi-co-the-thay-doi-ke-hoach-ca-nam-20200217141721673.chn,"Các nhà cung cấp từ Trung Quốc sẽ quay trở lại sản xuất từ ngày 20/2/2020, nhưng hiện vẫn chưa rõ công suất sản xuất khi các nhà máy hoạt động trở lại. Tuy nhiên, khả năng May..."
